location_id,date,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,reff_mean,reff_lower,reff_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_hospitalizations,cumulative_deaths_unscaled,daily_deaths_unscaled,daily_cases,population,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,mandates_mean,mandates_upper,mandates_lower,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization
102,2020-02-04,global_antivirals,United States of America,371.07,510.05,254.64,16.25,10.79,31.23,8130.51,6074.87,10299.59,1.2,0.78,2.23,1.0,0.65,1.92,13.39,9.08,26.33,30.66,24.35,36.64,,,,0.0,0.0,0.0,8130.50932044912,6074.87495709627,10299.5913555793,0.0,0.0,0.0,371.073920348129,254.643424525921,510.048195937994,1.13,0.0,254.0,10.88,1.0,0.0,3.0,327978729.925464,1.0968,0,0.0113,1,0.0556,0.0556,0.0556,,,,33.12,42.8,24.64,21.2,27.49,15.19,1.41,1.46,1.38,0.0,0.0,0,1.41267175837112,1.46175194263016,1.3789210575068,924107.0,70098.0,0.0133,0.1297,0.0061
102,2020-02-05,global_antivirals,United States of America,399.69,560.64,266.49,17.6,11.79,33.5,8530.2,6341.39,10852.22,1.35,0.92,2.35,1.13,0.76,2.0,14.52,9.88,28.23,29.5,23.25,35.43,,,,0.0,0.0,0.0,8530.20322481681,6341.39235445552,10852.2202144221,0.0,0.0,0.0,399.693904367688,266.488111911518,560.643713687028,1.13,0.0,256.0,11.96,1.0,0.0,2.0,327978729.925464,1.0968,0,0.0134,1,0.0556,0.0556,0.0556,,,,31.58,39.38,24.98,19.95,25.34,15.1,1.62,1.67,1.59,0.0,0.0,0,1.62259343740654,1.67338773235332,1.58774987920941,924107.0,70098.0,0.0135,0.1237,0.0069
102,2020-02-06,global_antivirals,United States of America,432.74,627.79,283.21,19.02,12.87,35.73,8962.95,6624.6,11466.33,1.42,1.02,2.37,1.19,0.89,2.04,15.7,10.78,30.11,29.54,23.27,35.48,,,,0.0,0.0,0.0,8962.9470810139,6624.60211930746,11466.3329941206,0.0,0.0,0.0,432.743856197094,283.209764851944,627.791066590804,1.13,0.0,260.0,12.04,1.0,0.0,4.0,327978729.925464,1.0965,0,0.0154,1,0.0556,0.0556,0.0556,,,,29.12,34.82,23.4,18.13,22.31,13.48,1.7,1.76,1.67,0.0,0.0,0,1.70341953547014,1.75748327262373,1.66642977828277,924107.0,70098.0,0.0128,0.1229,0.0072
102,2020-02-07,global_antivirals,United States of America,470.16,668.68,302.38,20.46,13.95,37.95,9433.1,6926.98,12135.02,1.44,1.04,2.38,1.2,0.88,2.02,16.91,11.72,31.98,29.73,23.43,35.66,,,,0.0,0.0,0.0,9433.10312912246,6926.98111258864,12135.0171181869,0.0,0.0,0.0,470.156048108557,302.37899328118,668.684124066294,1.13,0.0,260.0,14.05,1.0,0.0,0.0,327978729.925464,1.096,0,0.017,1,0.0556,0.0556,0.0556,,,,26.39,30.12,20.93,16.13,19.11,11.58,1.8,1.86,1.76,0.0,0.0,0,1.80179533079458,1.86116946671508,1.76127642071563,924107.0,70098.0,0.0113,0.1214,0.0074
102,2020-02-08,global_antivirals,United States of America,518.82,744.46,322.43,21.95,15.02,40.29,9951.92,7249.49,12859.52,1.48,1.06,2.43,1.25,0.89,2.0,18.16,12.66,33.85,30.36,24.01,36.26,,,,0.0,0.0,0.0,9951.92346888698,7249.49328851464,12859.5185350699,0.0,0.0,0.0,518.820339764519,322.431595975331,744.458268291666,1.13,0.0,270.0,16.07,1.0,0.0,10.0,327978729.925464,1.0955,0,0.0186,1,0.0556,0.0556,0.0556,,,,23.14,25.53,18.21,13.86,15.94,9.68,2.09,2.15,2.04,0.0,0.0,0,2.0875799009995,2.15382429804509,2.04249224138478,924107.0,70098.0,0.0102,0.1213,0.0084
102,2020-02-09,global_antivirals,United States of America,576.92,879.41,341.18,23.47,16.12,42.34,10528.84,7590.75,13698.17,1.53,1.08,2.43,1.3,0.9,2.07,19.46,13.59,35.77,19.16,15.67,25.55,,,,0.0,0.0,0.0,10528.8416798599,7590.74759220867,13698.1679298551,0.0,0.0,0.0,576.91821097288,341.176268694677,879.412855800855,1.13,0.0,271.0,16.09,1.0,0.0,1.0,327978729.925464,1.095,0,0.0202,1,0.0556,0.0556,0.0556,,,,23.42,25.49,19.28,13.46,15.04,10.0,2.31,2.63,2.2,0.0,0.0,0,2.31243403301942,2.63436408477807,2.20187109790689,924107.0,70098.0,0.0094,0.0749,0.0091
102,2020-02-10,global_antivirals,United States of America,644.07,998.31,388.92,25.01,17.23,44.22,11172.91,7978.78,14670.91,1.53,1.09,2.38,1.32,0.9,2.03,20.78,14.52,37.49,20.09,15.56,26.33,,,,0.0,0.0,0.0,11172.9098194854,7978.77747861634,14670.9063208344,0.0,0.0,0.0,644.068139625566,388.92454330145,998.309464403778,1.13,0.0,278.0,17.13,1.0,0.0,7.0,327978729.925464,1.0945,0,0.0219,1,0.0556,0.0556,0.0556,,,,23.63,25.95,20.36,13.01,14.59,10.41,2.36,2.68,2.19,0.0,0.0,0,2.35774022546185,2.67631069304841,2.1910985013579,924107.0,70098.0,0.0087,0.0761,0.009
102,2020-02-11,global_antivirals,United States of America,731.53,1157.43,426.83,26.57,18.54,46.4,11904.44,8402.67,15792.63,1.56,1.11,2.54,1.35,0.96,2.39,22.13,15.59,39.42,21.05,15.66,26.66,,,,0.0,0.0,0.0,11904.4368427756,8402.66780137092,15792.6328566172,0.0,0.0,0.0,731.527023290224,426.827657026971,1157.42550915244,1.13,0.0,284.0,20.17,1.0,0.0,6.0,327978729.925464,1.094,0,0.0235,1,0.0556,0.0556,0.0556,,,,23.45,26.17,20.96,12.51,14.16,10.68,2.33,2.62,2.12,0.0,0.0,0,2.33052646302299,2.61689089060506,2.1162975105026,924107.0,70098.0,0.0083,0.0772,0.0086
102,2020-02-12,global_antivirals,United States of America,839.28,1320.84,475.25,28.14,19.77,48.61,12743.71,8873.84,17113.48,1.58,1.12,2.58,1.38,1.0,2.28,23.5,16.74,41.39,22.25,15.75,26.68,,,,0.0,0.0,0.0,12743.7125800135,8873.83950143393,17113.4761719961,0.0,0.0,0.0,839.27573723786,475.251907219552,1320.84331537897,1.13,0.0,285.0,21.21,1.0,0.0,1.0,327978729.925464,1.0938,0,0.0251,1,0.0556,0.0556,0.0556,,,,23.18,26.04,21.12,11.98,13.67,10.74,2.33,2.55,2.04,0.0,0.0,0,2.33326668693008,2.55260016426853,2.04437647710143,924107.0,70098.0,0.0081,0.0789,0.0083
102,2020-02-13,global_antivirals,United States of America,969.71,1533.58,499.5,29.65,21.02,50.81,13713.42,9369.89,18647.05,1.51,1.13,2.36,1.32,0.99,2.06,24.82,17.81,43.36,23.46,18.28,27.22,,,,0.0,0.0,0.0,13713.4187623336,9369.88625687588,18647.0517900109,0.0,0.0,0.0,969.70618232011,499.49601787974,1533.57561801481,1.13,0.0,289.0,21.25,1.0,0.0,4.0,327978729.925464,1.0933,0,0.0266,1,0.0556,0.0556,0.0556,,,,24.45,27.62,22.15,12.65,14.49,11.32,2.4,2.55,2.21,0.0,0.0,0,2.39665814873566,2.55202747471671,2.2134975073309,924107.0,70098.0,0.0074,0.0809,0.0083
102,2020-02-14,global_antivirals,United States of America,1123.28,1718.78,573.52,31.12,22.17,52.96,14836.7,9934.76,20365.83,1.47,1.12,2.28,1.29,0.99,2.01,26.11,18.82,45.3,23.35,18.62,26.96,,,,0.0,0.0,0.0,14836.7022942606,9934.76338164836,20365.8346530148,0.0,0.0,0.0,1123.28353192694,573.520834770868,1718.78286300387,1.13,0.0,290.0,22.29,1.0,0.0,1.0,327978729.925464,1.0923,0,0.0281,1,0.0556,0.0556,0.0556,,,,25.68,29.07,23.19,13.29,15.24,11.83,2.46,2.61,2.29,0.0,0.0,0,2.45921004651331,2.60715127074347,2.29305689207799,924107.0,70098.0,0.007,0.0775,0.0082
102,2020-02-15,global_antivirals,United States of America,1306.81,1953.12,700.85,32.59,23.32,55.05,16143.51,10624.33,22299.9,1.47,1.11,2.26,1.28,0.99,2.01,27.39,19.85,47.2,24.4,18.94,28.37,,,,0.0,0.0,0.0,16143.513113677,10624.3339572208,22299.8983216619,0.0,0.0,0.0,1306.81081941648,700.852621295681,1953.12474867895,1.13,0.0,298.0,24.31,1.0,0.0,8.0,327978729.925464,1.0913,0,0.0295,1,0.0556,0.0556,0.0556,,,,27.1,30.81,24.2,14.04,16.17,12.37,2.65,2.83,2.46,0.0,0.0,0,2.6530079488,2.82577137048172,2.45691194121394,924107.0,70098.0,0.0068,0.0777,0.0085
102,2020-02-16,global_antivirals,United States of America,1527.15,2303.93,819.09,34.06,24.48,57.18,17670.66,11443.44,24543.71,1.47,1.13,2.24,1.28,0.98,2.0,28.67,20.88,49.11,26.39,20.14,31.09,,,,0.0,0.0,0.0,17670.6636610945,11443.4414555195,24543.7134179952,0.0,0.0,0.0,1527.15054741751,819.090579498808,2303.92683919583,1.13,0.0,299.0,24.33,1.0,0.0,1.0,327978729.925464,1.0903,0,0.0307,1,0.0556,0.0556,0.0556,,,,27.57,31.24,24.66,14.21,16.31,12.53,2.54,2.59,2.5,0.0,0.0,0,2.54001678695845,2.59478840059085,2.50349055183637,924107.0,70098.0,0.0067,0.0799,0.0078
102,2020-02-17,global_antivirals,United States of America,1788.69,2751.83,991.75,35.54,25.65,59.35,19459.35,12431.81,27212.65,1.48,1.13,2.24,1.3,1.0,1.97,29.97,21.9,51.03,27.17,21.03,31.75,,,,0.0,0.0,0.0,19459.3499465516,12431.8113875637,27212.6498217531,0.0,0.0,0.0,1788.68628545704,991.745055607357,2751.83168546693,1.13,0.0,301.0,26.5,1.0,0.0,2.0,327978729.925464,1.0893,0,0.0316,1,0.0556,0.0556,0.0556,,,,28.52,32.25,25.55,14.57,16.69,12.86,3.02,3.08,2.98,0.0,0.0,0,3.02153626032502,3.07951550934982,2.98289545977126,924107.0,70098.0,0.0067,0.0777,0.0088
102,2020-02-18,global_antivirals,United States of America,2100.62,3276.78,1185.96,37.03,26.8,61.41,21559.97,13604.37,30385.21,1.49,1.15,2.23,1.31,0.99,2.01,31.29,22.91,53.03,27.87,21.62,32.36,,,,0.0,0.0,0.0,21559.9687201933,13604.3680700839,30385.2126782029,0.0,0.0,0.0,2100.61877364175,1185.95772840605,3276.77936683097,1.13,0.0,305.0,30.69,1.0,0.0,4.0,327978729.925464,1.0883,0,0.0325,1,0.0556,0.0556,0.0556,,,,30.48,34.89,27.32,15.35,17.7,13.58,3.84,5.03,3.47,0.0,0.0,0,3.83835201994484,5.03125073577858,3.46747513597612,924107.0,70098.0,0.0066,0.0745,0.0103
102,2020-02-19,global_antivirals,United States of America,2480.29,3924.1,1423.96,38.54,27.96,63.49,24040.26,15002.43,34149.12,1.51,1.16,2.25,1.33,1.02,2.03,32.62,23.93,55.08,28.18,21.54,33.37,,,,0.0,0.0,0.0,24040.2625634707,15002.4341493586,34149.1184872127,0.0,0.0,0.0,2480.29384327736,1423.95754441721,3924.10104352589,1.13,0.0,307.0,34.95,1.0,0.0,2.0,327978729.925464,1.0878,0,0.0332,1,0.0556,0.0556,0.0556,,,,33.38,40.3,29.4,16.52,19.88,14.42,4.73,6.89,3.83,0.0,0.0,0,4.72686987110452,6.8920934524807,3.83428801088466,924107.0,70098.0,0.0066,0.0699,0.0116
102,2020-02-20,global_antivirals,United States of America,2941.83,4746.78,1676.83,40.14,29.18,65.99,26982.09,16647.45,38763.95,1.6,1.2,2.5,1.4,1.07,2.21,34.02,25.01,57.13,30.38,21.77,42.04,,,,0.0,0.0,0.0,26982.0909936496,16647.4466711672,38763.9507199996,0.0,0.0,0.0,2941.82843017888,1676.82634559464,4746.78271688105,1.13,0.0,314.0,38.22,1.0,0.0,7.0,327978729.925464,1.0871,0,0.0338,1,0.0556,0.0556,0.0556,,,,37.16,47.53,31.66,18.03,22.86,15.34,5.77,8.96,4.13,0.0,0.0,0,5.76630438837776,8.96375036961813,4.1318896866832,924107.0,70098.0,0.0069,0.069,0.013
102,2020-02-21,global_antivirals,United States of America,3503.93,5775.86,1977.3,41.8,30.43,68.52,30486.02,18582.84,44527.48,1.66,1.25,2.56,1.46,1.09,2.32,35.48,26.11,59.35,33.86,23.42,45.51,,,,0.0,0.0,0.0,30486.0240712448,18582.8409063495,44527.4841034759,0.0,0.0,0.0,3503.93307759525,1977.30275795356,5775.86104421546,1.13,0.0,317.0,42.41,1.0,0.0,3.0,327978729.925464,1.0856,0,0.0344,1,0.0556,0.0556,0.0556,,,,42.05,55.43,33.96,20.0,26.14,16.3,7.1,9.8,4.67,0.0,0.0,0,7.10136434051874,9.79626342193583,4.66614717067382,924107.0,70098.0,0.0071,0.0707,0.0147
102,2020-02-22,global_antivirals,United States of America,4184.21,7027.25,2343.46,43.51,31.69,71.04,34670.23,20888.85,51539.88,1.7,1.26,2.63,1.49,1.1,2.33,36.97,27.22,61.68,39.86,25.55,61.52,,,,0.0,0.0,0.0,34670.2320476852,20888.8518134765,51539.88449478,0.0,0.0,0.0,4184.20797644034,2343.45696492283,7027.24844925527,1.13,0.0,320.0,46.61,1.0,0.0,3.0,327978729.925464,1.0841,0,0.0349,1,0.0556,0.0556,0.0556,,,,47.95,63.82,37.08,22.47,29.87,17.5,8.71,11.99,6.23,0.0,0.0,0,8.71275585857023,11.9904076585238,6.22927967963866,924107.0,70098.0,0.0072,0.075,0.0165
102,2020-02-23,global_antivirals,United States of America,4998.59,8480.8,2812.27,45.27,33.05,73.54,39668.82,23701.12,60010.17,1.76,1.33,2.67,1.53,1.15,2.37,38.51,28.41,64.03,45.76,27.18,68.97,,,,0.0,0.0,0.0,39668.8248643085,23701.1185307998,60010.1736600421,0.0,0.0,0.0,4998.59281662332,2812.26671732328,8480.79865378717,1.13,0.0,328.0,49.57,1.0,0.0,8.0,327978729.925464,1.0827,0,0.0353,1,0.0556,0.0556,0.0556,,,,54.69,73.59,41.39,25.45,34.4,19.29,10.43,15.89,7.06,0.0,0.0,0,10.4347984923183,15.8898152821421,7.05602178110966,924107.0,70098.0,0.0073,0.0775,0.0177
102,2020-02-24,global_antivirals,United States of America,6000.94,10363.26,3374.89,47.1,34.5,76.02,45669.76,27076.01,70317.16,1.83,1.39,2.72,1.58,1.23,2.38,40.09,29.68,66.36,53.2,33.19,77.76,,,,0.0,0.0,0.0,45669.7610431885,27076.0087947931,70317.156458481,0.0,0.0,0.0,6000.93617887996,3374.89026399333,10363.2589464532,1.13,0.0,345.0,56.54,1.0,0.0,17.0,327978729.925464,1.0812,0,0.0357,1,0.0556,0.0556,0.0556,,,,63.26,88.22,46.93,29.33,41.06,21.65,12.37,19.12,8.32,0.0,0.0,0,12.3706856391325,19.1241788834365,8.32396697266401,924107.0,70098.0,0.0074,0.0808,0.0188
102,2020-02-25,global_antivirals,United States of America,7281.85,12837.93,4014.36,49.68,36.69,79.3,52951.61,31090.37,83040.58,2.59,2.13,3.52,2.17,1.82,2.96,42.26,31.56,69.26,63.81,36.49,98.03,,,,0.0,0.0,0.0,52951.6090989239,31090.3672080887,83040.5820635778,0.0,0.0,0.0,7281.84805573547,4014.35841329555,12837.9290903555,1.13,0.0,350.0,61.18,1.0,0.0,5.0,327978729.925464,1.0797,0,0.0361,1,0.0556,0.0556,0.0556,,,,74.83,108.52,53.45,34.73,50.79,24.5,15.18,23.7,9.15,0.0,0.0,0,15.1802234447238,23.6988228648636,9.15386266265963,924107.0,70098.0,0.0101,0.0847,0.0201
102,2020-02-26,global_antivirals,United States of America,8850.68,15521.77,4768.26,53.53,40.08,84.06,61802.29,35858.63,98562.35,3.85,3.25,4.85,3.16,2.81,3.93,45.42,34.43,73.13,78.34,47.52,113.22,,,,0.0,0.0,0.0,61802.2940072893,35858.6285287192,98562.3500681209,0.0,0.0,0.0,8850.68490836537,4768.26132063051,15521.7680045431,1.13,0.0,359.0,65.35,1.0,0.0,9.0,327978729.925464,1.079,0,0.0364,1,0.0556,0.0556,0.0556,,,,89.07,131.22,61.18,41.57,62.29,27.95,19.05,27.55,11.52,0.0,0.0,0,19.0503510597969,27.5497408287587,11.5239508995754,924107.0,70098.0,0.0145,0.0915,0.0222
