location_name,date,cumulative_cases,daily_deaths,daily_cases,cumulative_all_vaccinated,hospital_beds_mean,infection_fatality,cumulative_deaths,mask_use_mean,sequential_number
United States of America,2020-02-28,393.0,10.21,20.0,,134.23,0.0192,11.34,0.0371,1
United States of America,2020-02-29,426.0,7.66,33.0,,170.0,0.0228,19.0,0.0375,2
United States of America,2020-03-01,509.0,2.54,83.0,,212.9,0.0254,21.54,0.0379,3
United States of America,2020-03-02,581.0,10.64,72.0,,267.5,0.0287,32.18,0.0383,4
United States of America,2020-03-03,649.0,8.11,68.0,,335.61,0.0299,40.29,0.0388,5
United States of America,2020-03-04,751.0,8.18,102.0,,423.84,0.0279,48.47,0.0395,6
United States of America,2020-03-05,869.0,13.21,118.0,,531.99,0.0294,61.68,0.0404,7
United States of America,2020-03-06,1006.0,10.76,137.0,,668.52,0.03,72.44,0.0418,8
United States of America,2020-03-07,1195.5,8.22,189.5,,843.0,0.0287,80.65,0.0439,9
United States of America,2020-03-08,1452.17,17.25,256.67,,1058.37,0.0299,97.9,0.047,10
United States of America,2020-03-09,1770.33,9.62,318.17,,1322.38,0.0299,107.52,0.0514,11
United States of America,2020-03-10,2287.0,15.91,516.67,,1644.53,0.029,123.43,0.0572,12
United States of America,2020-03-11,2825.0,26.0,538.0,,2011.25,0.0282,149.43,0.0647,13
United States of America,2020-03-12,3528.0,18.62,703.0,,2441.89,0.0277,168.05,0.0737,14
United States of America,2020-03-13,4460.0,24.47,932.0,,2957.08,0.0293,192.52,0.084,15
United States of America,2020-03-14,5432.0,27.28,972.0,,3586.2,0.0307,219.8,0.0961,16
United States of America,2020-03-15,6627.0,24.46,1195.0,,4347.21,0.031,244.26,0.1099,17
United States of America,2020-03-16,8254.0,57.0,1627.0,,5172.28,0.0333,301.26,0.1251,18
United States of America,2020-03-17,10692.0,57.29,2438.0,,6133.96,0.0366,358.55,0.1406,19
United States of America,2020-03-18,13461.0,64.63,2769.0,,7293.95,0.0382,423.18,0.1555,20
United States of America,2020-03-19,20631.0,114.94,7170.0,,8596.35,0.0395,538.12,0.1698,21
United States of America,2020-03-20,28405.0,120.84,7774.0,,10040.79,0.0405,658.97,0.1838,22
United States of America,2020-03-21,36688.0,124.76,8283.0,,11649.52,0.0428,783.73,0.1975,23
United States of America,2020-03-22,42506.0,160.28,5818.0,,13489.98,0.0468,944.01,0.2105,24
United States of America,2020-03-23,49385.0,189.79,6879.0,,15578.49,0.0485,1133.8,0.2227,25
United States of America,2020-03-24,60309.0,314.2,10924.0,,17838.37,0.0503,1448.0,0.2346,26
United States of America,2020-03-25,74865.0,391.22,14556.0,,20264.0,0.0536,1839.22,0.2463,27
United States of America,2020-03-26,91637.0,395.86,16772.0,,22884.53,0.0543,2235.08,0.2579,28
United States of America,2020-03-27,108711.0,587.17,17074.0,,25769.3,0.0536,2822.25,0.2696,29
United States of America,2020-03-28,129240.5,752.68,20529.5,,28784.8,0.0541,3574.93,0.2812,30
United States of America,2020-03-29,146895.5,637.98,17655.0,,31852.47,0.0544,4212.91,0.2927,31
United States of America,2020-03-30,169461.0,881.91,22565.5,,34969.68,0.0539,5094.82,0.3042,32
United States of America,2020-03-31,194906.0,1262.48,25445.0,,38211.58,0.0524,6357.3,0.3157,33
United States of America,2020-04-01,220926.0,1422.68,26020.0,,41460.72,0.0498,7779.97,0.3272,34
United States of America,2020-04-02,251164.0,1543.88,30238.0,,44677.42,0.0457,9323.86,0.3387,35
United States of America,2020-04-03,283817.0,1884.7,32653.0,,47879.61,0.0403,11208.56,0.3501,36
United States of America,2020-04-04,316454.0,2079.88,32637.0,,51036.64,0.0363,13288.44,0.3616,37
United States of America,2020-04-05,343413.0,1714.29,26959.0,,54861.56,0.034,15002.73,0.373,38
United States of America,2020-04-06,374081.0,1534.3,30668.0,,58430.69,0.0321,16537.02,0.3845,39
United States of America,2020-04-07,404856.5,2805.07,30775.5,,61106.81,0.0302,19342.09,0.3959,40
United States of America,2020-04-08,437820.5,2738.78,32964.0,,63260.6,0.0284,22080.87,0.4072,41
United States of America,2020-04-09,470976.5,2687.82,33156.0,,64976.51,0.0268,24768.69,0.4184,42
United States of America,2020-04-10,504587.0,2584.75,33610.5,,66192.43,0.0256,27353.43,0.4294,43
United States of America,2020-04-11,534315.5,2636.21,29728.5,,67178.71,0.0246,29989.64,0.44,44
United States of America,2020-04-12,561587.0,2293.17,27271.5,,67960.01,0.0236,32282.81,0.4502,45
United States of America,2020-04-13,588299.0,2300.62,26712.0,,68467.12,0.0226,34583.43,0.4599,46
United States of America,2020-04-14,615350.0,3338.18,27051.0,,68722.47,0.0217,37921.6,0.469,47
